date,sales
2022-06-20,166
2022-06-21,169
2022-06-22,187
2022-06-23,198
2022-06-24,199
2022-06-25,213
2022-06-26,200
2022-06-27,232
2022-06-28,201
2022-06-29,264
2022-06-30,226
2022-07-01,200
2022-07-02,199
2022-07-03,234
2022-07-04,223
2022-07-05,245
2022-07-06,244
2022-07-07,237
2022-07-08,224
2022-07-09,214
2022-07-10,239
2022-07-11,268
2022-07-12,258
2022-07-13,232
2022-07-14,263
2022-07-15,270
2022-07-16,247
2022-07-17,270
2022-07-18,270
2022-07-19,248
2022-07-20,280
2022-07-21,285
2022-07-22,297
2022-07-23,297
2022-07-24,249
2022-07-25,259
2022-07-26,288
2022-07-27,288
2022-07-28,288
2022-07-29,354
2022-07-30,288
2022-07-31,298
2022-08-01,294
2022-08-02,286
2022-08-03,265
2022-08-04,285
2022-08-05,253
2022-08-06,261
2022-08-07,254
2022-08-08,263
2022-08-09,305
2022-08-10,219
2022-08-11,267
2022-08-12,218
2022-08-13,238
2022-08-14,266
2022-08-15,242
2022-08-16,216
2022-08-17,220
2022-08-18,245
2022-08-19,213
2022-08-20,229
2022-08-21,222
2022-08-22,205
2022-08-23,258
2022-08-24,224
2022-08-25,168
2022-08-26,210
2022-08-27,190
2022-08-28,218
2022-08-29,182
2022-08-30,194
2022-08-31,204
2022-09-01,209
2022-09-02,166
2022-09-03,182
2022-09-04,178
2022-09-05,173
2022-09-06,221
2022-09-07,193
2022-09-08,159
2022-09-09,202
2022-09-10,227
2022-09-11,205
2022-09-12,154
2022-09-13,176
2022-09-14,212
2022-09-15,174
2022-09-16,198
2022-09-17,206
2022-09-18,174
2022-09-19,193
2022-09-20,132
2022-09-21,179
2022-09-22,197
2022-09-23,180
2022-09-24,240
2022-09-25,182
2022-09-26,205
2022-09-27,220
2022-09-28,249
2022-09-29,195
2022-09-30,250
2022-10-01,231
2022-10-02,215
2022-10-03,247
2022-10-04,245
2022-10-05,233
2022-10-06,250
2022-10-07,244
2022-10-08,258
2022-10-09,272
2022-10-10,294
2022-10-11,240
2022-10-12,311
2022-10-13,232
2022-10-14,270
2022-10-15,288
2022-10-16,284
2022-10-17,268
2022-10-18,278
2022-10-19,274
2022-10-20,274
2022-10-21,304
2022-10-22,295
2022-10-23,275
2022-10-24,308
2022-10-25,296
2022-10-26,307
2022-10-27,303
2022-10-28,273
2022-10-29,278
2022-10-30,304
2022-10-31,300
2022-11-01,286
2022-11-02,288
2022-11-03,309
2022-11-04,270
2022-11-05,291
2022-11-06,274
2022-11-07,271
2022-11-08,295
2022-11-09,287
2022-11-10,284
2022-11-11,291
2022-11-12,262
2022-11-13,272
2022-11-14,249
2022-11-15,259
2022-11-16,246
2022-11-17,247
2022-11-18,254
2022-11-19,223
2022-11-20,278
2022-11-21,212
2022-11-22,205
2022-11-23,249
2022-11-24,239
2022-11-25,233
2022-11-26,230
2022-11-27,215
2022-11-28,194
2022-11-29,211
2022-11-30,194
2022-12-01,225
2022-12-02,201
2022-12-03,186
2022-12-04,194
2022-12-05,208
2022-12-06,187
2022-12-07,181
2022-12-08,202
2022-12-09,202
2022-12-10,186
2022-12-11,187
2022-12-12,202
2022-12-13,169
2022-12-14,170
2022-12-15,185
2022-12-16,197
2022-12-17,209
2022-12-18,234
2022-12-19,223
2022-12-20,205
2022-12-21,210
2022-12-22,193
2022-12-23,215
2022-12-24,213
2022-12-25,228
2022-12-26,208
2022-12-27,238
2022-12-28,261
2022-12-29,232
2022-12-30,246
2022-12-31,255
2023-01-01,237
2023-01-02,253
2023-01-03,252
2023-01-04,257
2023-01-05,243
2023-01-06,263
2023-01-07,276
2023-01-08,298
2023-01-09,292
2023-01-10,319
2023-01-11,263
2023-01-12,299
2023-01-13,288
2023-01-14,331
2023-01-15,273
2023-01-16,275
2023-01-17,282
2023-01-18,253
2023-01-19,287
2023-01-20,284
2023-01-21,303
2023-01-22,308
2023-01-23,339
2023-01-24,322
2023-01-25,291
2023-01-26,285
2023-01-27,313
2023-01-28,276
2023-01-29,338
2023-01-30,325
2023-01-31,291
2023-02-01,264
2023-02-02,324
2023-02-03,293
2023-02-04,318
2023-02-05,260
2023-02-06,277
2023-02-07,287
2023-02-08,285
2023-02-09,273
2023-02-10,291
2023-02-11,255
2023-02-12,270
2023-02-13,272
2023-02-14,277
2023-02-15,278
2023-02-16,238
2023-02-17,226
2023-02-18,279
2023-02-19,257
2023-02-20,232
2023-02-21,275
2023-02-22,243
2023-02-23,261
2023-02-24,236
2023-02-25,273
2023-02-26,264
2023-02-27,221
2023-02-28,243
2023-03-01,234
2023-03-02,247
2023-03-03,198
2023-03-04,229
2023-03-05,235
2023-03-06,178
2023-03-07,188
2023-03-08,170
2023-03-09,205
2023-03-10,224
2023-03-11,239
2023-03-12,211
2023-03-13,242
2023-03-14,182
2023-03-15,176
2023-03-16,210
2023-03-17,220
2023-03-18,213
2023-03-19,174
2023-03-20,216
2023-03-21,193
2023-03-22,235
2023-03-23,231
2023-03-24,208
2023-03-25,219
2023-03-26,211
2023-03-27,234
2023-03-28,257
2023-03-29,222
2023-03-30,255
2023-03-31,237
2023-04-01,236
2023-04-02,253
2023-04-03,238
2023-04-04,251
2023-04-05,242
2023-04-06,309
2023-04-07,274
2023-04-08,262
2023-04-09,284
2023-04-10,281
2023-04-11,282
2023-04-12,302
2023-04-13,308
2023-04-14,285
2023-04-15,286
2023-04-16,295
2023-04-17,257
2023-04-18,275
2023-04-19,334
2023-04-20,342
2023-04-21,306
2023-04-22,323
2023-04-23,319
2023-04-24,376
2023-04-25,337
2023-04-26,313
2023-04-27,296
2023-04-28,283
2023-04-29,319
2023-04-30,300
2023-05-01,286
2023-05-02,300
2023-05-03,290
2023-05-04,344
2023-05-05,327
2023-05-06,307
2023-05-07,335
2023-05-08,305
2023-05-09,284
2023-05-10,329
2023-05-11,307
2023-05-12,272
2023-05-13,287
2023-05-14,270
2023-05-15,257
2023-05-16,300
2023-05-17,316
2023-05-18,247
2023-05-19,283
2023-05-20,255
2023-05-21,255
2023-05-22,250
2023-05-23,241
2023-05-24,256
2023-05-25,235
2023-05-26,254
2023-05-27,245
2023-05-28,238
2023-05-29,222
2023-05-30,226
2023-05-31,251
2023-06-01,243
2023-06-02,212
2023-06-03,231
2023-06-04,243
2023-06-05,193
2023-06-06,236
2023-06-07,210
2023-06-08,234
2023-06-09,207
2023-06-10,186
2023-06-11,189
2023-06-12,223
2023-06-13,227
2023-06-14,205
2023-06-15,236
2023-06-16,191
2023-06-17,224
2023-06-18,203
2023-06-19,216
2023-06-20,232
2023-06-21,216
2023-06-22,227
2023-06-23,258
2023-06-24,229
2023-06-25,260
2023-06-26,223
2023-06-27,259
2023-06-28,281
2023-06-29,206
2023-06-30,243
2023-07-01,274
2023-07-02,261
2023-07-03,276
2023-07-04,260
2023-07-05,278
2023-07-06,277
2023-07-07,307
2023-07-08,292
2023-07-09,297
2023-07-10,285
2023-07-11,287
2023-07-12,291
2023-07-13,311
2023-07-14,298
2023-07-15,315
2023-07-16,353
2023-07-17,331
2023-07-18,310
2023-07-19,343
2023-07-20,312
2023-07-21,281
2023-07-22,304
2023-07-23,288
2023-07-24,319
2023-07-25,327
2023-07-26,361
2023-07-27,334
2023-07-28,324
2023-07-29,345
2023-07-30,283
2023-07-31,332
2023-08-01,342
2023-08-02,296
2023-08-03,347
2023-08-04,329
2023-08-05,313
2023-08-06,332
2023-08-07,363
2023-08-08,319
2023-08-09,318
2023-08-10,301
2023-08-11,290
2023-08-12,321
2023-08-13,285
2023-08-14,300
2023-08-15,286
2023-08-16,302
2023-08-17,296
2023-08-18,307
2023-08-19,272
2023-08-20,274
2023-08-21,257
2023-08-22,264
2023-08-23,277
2023-08-24,282
2023-08-25,245
2023-08-26,278
2023-08-27,285
2023-08-28,263
2023-08-29,290
2023-08-30,234
2023-08-31,222
2023-09-01,209
2023-09-02,273
2023-09-03,254
2023-09-04,238
2023-09-05,244
2023-09-06,214
2023-09-07,285
2023-09-08,238
2023-09-09,237
2023-09-10,249
2023-09-11,244
2023-09-12,239
2023-09-13,219
2023-09-14,245
2023-09-15,274
2023-09-16,264
2023-09-17,271
2023-09-18,230
2023-09-19,222
2023-09-20,242
2023-09-21,247
2023-09-22,270
2023-09-23,217
2023-09-24,284
2023-09-25,253
2023-09-26,251
2023-09-27,242
2023-09-28,233
2023-09-29,286
2023-09-30,274
2023-10-01,250
2023-10-02,254
2023-10-03,276
2023-10-04,320
2023-10-05,285
2023-10-06,264
2023-10-07,292
2023-10-08,295
2023-10-09,250
2023-10-10,306
2023-10-11,306
2023-10-12,328
2023-10-13,354
2023-10-14,342
2023-10-15,317
2023-10-16,303
2023-10-17,379
2023-10-18,331
2023-10-19,332
2023-10-20,333
2023-10-21,339
2023-10-22,334
2023-10-23,327
2023-10-24,328
2023-10-25,339
2023-10-26,329
2023-10-27,326
2023-10-28,343
2023-10-29,335
2023-10-30,370
2023-10-31,286
2023-11-01,360
2023-11-02,362
2023-11-03,295
2023-11-04,328
2023-11-05,325
2023-11-06,303
2023-11-07,313
2023-11-08,304
2023-11-09,359
2023-11-10,340
2023-11-11,344
2023-11-12,331
2023-11-13,291
2023-11-14,300
2023-11-15,317
2023-11-16,279
2023-11-17,315
2023-11-18,292
2023-11-19,286
2023-11-20,305
2023-11-21,296
2023-11-22,277
2023-11-23,304
2023-11-24,256
2023-11-25,287
2023-11-26,284
2023-11-27,263
2023-11-28,273
2023-11-29,239
2023-11-30,280
2023-12-01,255
2023-12-02,246
2023-12-03,276
2023-12-04,239
2023-12-05,223
2023-12-06,219
2023-12-07,261
2023-12-08,223
2023-12-09,283
2023-12-10,205
2023-12-11,281
2023-12-12,251
2023-12-13,245
2023-12-14,237
2023-12-15,256
2023-12-16,249
2023-12-17,273
2023-12-18,254
2023-12-19,257
2023-12-20,248
2023-12-21,256
2023-12-22,266
2023-12-23,228
2023-12-24,238
2023-12-25,282
2023-12-26,274
2023-12-27,270
2023-12-28,277
2023-12-29,287
2023-12-30,272
2023-12-31,271
